ID,Authors / works,Book form,Content (beta!),Culture & genre,Date,Full Text,Language/script,Material,Note,People List,Places List,Provenance,Recto/Verso,Reuse note,Reuse type,Ro,Text Irregularities
TM 58376,nan,nan,funerary (human),nan,3rd century BC: BC 299 - 200,nan,Hieroglyphic,stone— stele,nan,"['Ns-Ḥr', 'Psḏ.t', 'Twtw', 'Subscribe to export the table']",{},Panopolis (Akhmim)- Egypt (9th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],nan,nan,nan,nan,[]
TM 61011,"Homerus,Ilias:2.379-2.382This link will bring you to Perseus, where you can find an edition of this passage (although not of this text!).,4.3-4.544This link will bring you to Perseus, where you can find an edition of this passage (although not of this text!).,5.1-5.746This link will bring you to Perseus, where you can find an edition of this passage (although not of this text!).,18.50-18.603This link will bring you to Perseus, where you can find an edition of this passage (although not of this text!).,19.1-19.72This link will bring you to Perseus, where you can find an edition of this passage (although not of this text!).,19.234-19.253This link will bring you to Perseus, where you can find an edition of this passage (although not of this text!).,20.167-20.218This link will bring you to Perseus, where you can find an edition of this passage (although not of this text!).,20.365-20.395This link will bring you to Perseus, where you can find an edition of this passage (although not of this text!).(direct attestation)",codex (10 pages); columns per page: 2; highest page number: 63,school text?,"literature, science — poetry, epic + philology, lexicography, glossary (religion: classical)",late 4th - early 5th century AD: AD 375 - 425,nan,Greek(paleography: documentary hand),papyrus,school text (Fournet),['\r\n        \t\t\t\t\tWe currently do not have any people attestations for this text.'],{},Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found]Antinoopolis (El-Sheikh Ibada)- Egypt (15th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [written],Ro/Vo,nan,nan,nan,[]
TM 61596,"Menander,Heros: hypothesis and title (epitomized)Menander,Epitrepontes: 218-1131 passim (direct attestation)Menander,Samia(direct attestation)Menander,Periciromene: 121-406, 480-550, 708-760 (direct attestation)Eupolis,Demoi(direct attestation)Menander,Heros(direct attestation)","codex (17 fol.); columns per page: 1; highest page number: 29; number of lines per page: 33, 34, 35, 36, 37, 38",nan,"literature, science — poetry, tragedy + philology, hypothesis (religion: classical)",5th century AD: AD 400 - 499,nan,Greek(paleography: pointed majuscule sloping),papyrus,reused as a jar stopper,['\r\n        \t\t\t\t\tWe currently do not have any people attestations for this text.'],{},Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found]Egypt- Egypt (N/AThe region ca. 3rd cent. BC-AegyptusThe Roman provincia or regio ca. 2nd cent. AD) [written],Ro/Vo,nan,nan,nan,[]
TM 61072,"Homerus,Ilias:2.494-2.519This link will bring you to Perseus, where you can find an edition of this passage (although not of this text!).,2.528-2.576This link will bring you to Perseus, where you can find an edition of this passage (although not of this text!).,2.594-2.614This link will bring you to Perseus, where you can find an edition of this passage (although not of this text!).,2.631-2.641This link will bring you to Perseus, where you can find an edition of this passage (although not of this text!).,2.652-2.683This link will bring you to Perseus, where you can find an edition of this passage (although not of this text!).,2.689-2.720This link will bring you to Perseus, where you can find an edition of this passage (although not of this text!).,10.372-10.443This link will bring you to Perseus, where you can find an edition of this passage (although not of this text!).,11.652-11.720This link will bring you to Perseus, where you can find an edition of this passage (although not of this text!).,11.734-11.753This link will bring you to Perseus, where you can find an edition of this passage (although not of this text!).,11.772-11.790This link will bring you to Perseus, where you can find an edition of this passage (although not of this text!).(direct attestation)",codex; columns per page: 1; number of lines per page: 36,school text,"literature — poetry, epic (religion: classical)",late 5th - early 6th century AD: AD 475 - 525,nan,Greek,nan,school text (Fournet),['\r\n        \t\t\t\t\tWe currently do not have any people attestations for this text.'],{},Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found]Egypt- Egypt (N/AThe region ca. 3rd cent. BC-AegyptusThe Roman provincia or regio ca. 2nd cent. AD) [written],Ro/Vo,nan,nan,nan,[]
TM 19028,nan,nan,Contract: sale,nan,AD 490 - 565,"1 [--------------------]  [.....]  [Διοσκ]ό̣ρου̣  ε̣[---]  [ὁρμωμένου]  [μὲν]  [ἀπὸ]  [κώμης]  [---]  [τοῦ]  [---]  [νομοῦ]  [,] 2 δ̣[ιάγον]τος  δὲ  τὰ  νῦ[ν]  ἐν  τ[αύτῃ]  [---]  [ὁμολογῶ]  [διὰ]  [ταύτης]  [μου]  [τῆς] 3 ἐγ̣[γρά]φου  ἀσφαλε̣ί̣ας  η̣[---] 4 ἀν̣[απο]τρέπτῳ  γνώμῃ  τε  κ[αὶ]  σ[υναιρέσει]  [,]  [---]  [ἐπομνύμενος]  [τόν]  [τε]  [παντοκράτορα] 5  καὶ  τὴν  θ[ε]ί̣αν  καὶ  οὐράνιο[ν]  [τύχην]  [τοῦ]  [καλλινίκου]  [ἡμῶν]  [δεσπότου] [Φλ(αυίου)]  [---]  [τοῦ]  [αἰωνίου] 6 Αὐγούστ̣[ου] [Α]ὐτοκ̣[ρ]ά̣τορο[ς]  [---]  [πεπρακέναι]  [σοι]  [---] 7 ἀπὸ  τοῦ  νῦν  ἐπὶ  τὸν  ἀ[ε]ὶ̣  ἑξῆς  πρ̣[οελευσόμενον?]  [χρόνον]  [---] 8 δικαίῳ  κ[α]ὶ̣  καλῇ  π̣ί̣σ̣τε̣[ι]  καὶ  πα̣[---]  [τὸ]  [ὑπάρχον] 9 μ̣οι  ἐκ  γονικ̣ῆς̣  μο(υ)  δ̣ια[δ]οχ̣(ῆς?)  καὶ  [ὑποστάσεως]  [?][---]  [κτῆμα] 10 διακείμενον  ἐν  πε̣διά̣δ̣[ι]  κώ[μης]  [---]  [τοῦ]  [---]  [νομοῦ]  [---]  [ἀρουρῶν] 11 τῶν  κατὰ  κοινωνίαν  ο[ὐ]σῶ[ν]  [---] 12 συμπλήρωσιν  τῶν  αὐτῶ̣ν̣  ἀ̣ρ̣ο̣(υ)[ρῶν]  [---] 13 δηλούμ[ε]νο̣ι̣  οὕτως  τοῦ  πρά[γματος]  [---] 14 σπο[ρί]μης  γῆς  καὶ  ἀνυποτε̣λ̣[οῦς]  [ἄρουραν]  [μίαν]  [.]  [γείτονες]  [δέ]  [εἰσιν]  [---]  [ἐπὶ]  [μὲν]  [νότου] 15 τὸ  γεώργιον  τῆς  εὐαγοῦς  μο[νῆς]  [?][---]  [ἐπὶ]  [δὲ]  [ἀπηλιώτου]  [?][---] 16 ἐπὶ βορρᾶ  τὸ  ὑμέτερον  γεώρ[γιον]  [---]  [καὶ]  [ἐπὶ]  [λιβὸς]  [---] 17 ἢ  οἷοι  \†/  \τε/  ἂν  ὦσι  [γεί]τ̣ο̣ν̣[ε]ς  [πάν]τ̣[ῃ]  [πάντοθεν]  [·]  [τιμῆς]  [δὲ]  [τῆς]  [πρὸς]  [ἀλλήλους]  [συμπεφωνημένης]  [καὶ] 18 συναρεσάσης  τ̣ελ[εί]ας̣  κ̣α̣θ̣[αροῦ]  [χρυσοῦ]  [νομίσματα]  [---]  [γί(νεται)]  [χρ(υσοῦ)]  [νο(μίσματα)]  [---]  [ἅπερ]  [ταῦτα]  [τῆς] 19 τιμῆς  χρυσιν̣ὰ  [ἀπεί]λ̣ηφ[α]  ἐ̣γ̣[ὼ]  [ὁ]  [ἀποδόμενος]  [---]  [παρὰ]  [σοῦ]  [τοῦ]  [πριαμένου]  [---]  [διὰ]  [χειρός]  [σου]  [εἰς]  [χεῖράς]  [μου]  [,] 20 ἀριθμῷ  καὶ  σ[ταθ]μ̣[ῷ]  [.][---]  [ἀπὸ]  [τοῦ]  [νῦν]  [εἰς]  [τὸν] 21 ἅπαν[τ]α  κ(αὶ)  διη[ν]εκ̣[ῆ]  χ̣ρ̣όνον  [..][---] 22 ἀρούρης  ἀνυ̣πο[τ]ελο[ῦ]ς  σπ̣ο̣ρ[ίμης]  [---] 23 ὑπὲρ  οὗ  καθ’*  ἔτος  τὸ  κ̣τ̣ῆ̣μα  μ[---] 24 δημοσίαν  συντ̣έ̣λ̣[ει]α̣ν  ἣ̣ν̣  καὶ  αι̣[---]  [ἐφʼ]  [ᾧ]  [σὲ] 25 τοῦτο  ἔχειν  κ[αὶ]  κ̣[υριεύ]ε̣ι̣ν̣  μ̣ε̣τὰ̣  [παντὸς]  [αὐτοῦ]  [τοῦ]  [δικαίου]  [καὶ]  [χρηστηρίων]  [ἁπάντων]  [,]  [ἀρξάμενόν]  [σε]  [τῆς]  [τούτου]  [τοῦ]  [κτήματος?] 26 δεσποτείας  [ἀ]π\ὸ/  κ̣α̣ρ̣πῶ[ν]  τ̣ῶ̣ν  ν̣ῦ̣[ν]  [?][---] 27 εἰς  τὸ  παν[τελ]ὲς  β[.][---] 28 ἀπὸ  παντὸς  τοῦ  ἐπ[ε]λ[ευσ]ομ̣έ̣νο(υ)  σοι  [ἢ]  [ἀν]τ̣ι̣[ποιηθησομένου]  [---] 29 σπορίμης  καὶ  τὸν  ἐπ[ε]λευσόμ(ενον)  εἰς  σ̣ὲ̣  τὸ[ν]  [πριάμενον]  [---]  [βεβαιώσω] 30 σοι  πάσῃ  βεβαιώ̣σ̣ε̣ι̣  [..][---]  [καὶ]  [εἰ]  [ἧττον]  [φροντίζω]  [τῆς]  [αὐτοῦ]  [βεβαιώσεως]  [,]  [τριπλασίως]  [τὸ]  [τίμημα] 31 δώσω̣  [σ]οι ,  με̣τ̣ὰ̣  κ[αὶ]  τ̣ο̣ῦ̣  [μετὰ]  [ταῦτα]  [εἶναι]  [τὴν]  [παροῦσαν]  [ἔγγραφον]  [πρᾶσιν]  [κυρίαν]  [καὶ]  [βεβαίαν]  [---] 32 [--------------------]",Greek,nan,nan,"[' 1Διοσκόρου', 'Subscribe to export the table']",{},Aphrodito (Kom Ishgau)? - Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [written]Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found],Ro,nan,nan,nan,['καθ’: read κατʼ']
TM 19001,nan,nan,Receipt,nan,AD 507 Mar 21?AD 492 Mar 21?,"1 [⳨]  δ̣[έ]δ̣[ω]κ̣[εν]  Διόσκορ[ος]  [Ψ]ιμανωβετ  δ(ιὰ) Δίο(υ)  ε[ἰ]ς  λ̣ό̣γ̣ον  δημοσί(ων)  γ  καταβολῆς  κα̣ν̣[όνος] 2 πεντεκαιδεκάτης  ἰνδ(ικτίονος)  κεράτια  ἑπτά  ·  γί(νεται)  [κ(εράτια)]  [ζ]  [ἁπλ(ᾶ)] , Φαμενὼθ  κε  τῆς  (αὐτῆς)  ἰνδ(ικτίονος) .  οἱ  ἐνδοδότ(ατοι) 3 παγ̣[ά]ρ̣χ̣(αι?)  δ̣(ιʼ)  ἐ̣μ̣ο̣(ῦ)  [..]  [ὑ]ποδέκτο(υ)  σεμ(ημείωμαι)*  ⳨",Greek,nan,nan,"[' 1Διόσκορος', 'Ψιμανωβετ', 'Subscribe to export the table']",{},Antaiopolis (Qaw el-Kebir)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [written]Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found],"Ro/Vo, back: text related (?): traces (deliberately wiped out Vo)",nan,nan,nan,['σεμημείωμαι: read σεσημείωμαι']
TM 45294,nan,nan,Receipt,nan,6th century AD: AD 500 - 599,1 †  τὸ  δίκα[ι]ον  τοῦ  ἁγίου  τόπου  ἄπα  Μ̣ιχα̣η̣λί̣ο̣υ̣  [διὰ] [Ἁραοῦτος]  [πρεσβυτέρου] 2 καὶ  οἰκο[νόμου]  [τ]ῷ  θαυμασιω̣τάτῳ Φ̣[οιβάμμωνι] [Τριαδέλφου]  [χαίρ(ειν)]  [.] 3 πεπλή[ρωμαι]  [παρ]ὰ̣  σοῦ  τ̣οῦ  φ̣[όρου]  [τοῦ]  [ὑπὸ]  [σέ]  [---] 4 [..]  [ἔν]  [τε]  [σίτῳ]  κ̣[α]ὶ  κριθ(αῖς)  [---]  [εἰς]  [σὴν] 5 ἀσφάλ[ε]ι̣[αν]  π̣εποίημαί  σοι  ταύτην  τὴν  [πληρωτικὴν]  [ἀποχὴν]  [μεθ’]  [ὑπο]- 6 γραφῆς  ἐμῆς  ὡς  πρόκ(ειται) .  †  τὸ  δίκαιον  [τοῦ]  [προκ(ειμένου)]  [ἁγίου]  [τόπου]  [δι’]  [ἐμοῦ] 7 Ἁραοῦτος  πρεσβ(υτέρου)  καὶ  οἰκονόμου  στ̣[οιχεῖ]  [μοι]  [ἡ]  [ἀποχὴ]  [ὡς]  [πρό(κειται)]  [.] 8 † Κωσταντῖνος  διάκ(ονος)  τοῦ  αὐτοῦ  στο̣ι̣[χεῖ]  [μοι]  [ἡ]  [ἀποχὴ]  [ὡς]  [πρό(κειται)]  [.],Greek,nan,nan,"[' 1Ἁραοῦτος', ' 2Φοιβάμμωνι', 'Τριαδέλφου', ' 7Ἁραοῦτος', ' 8Κωσταντῖνος', 'Subscribe to export the table']","{'τοῦ ἁγίου τόπου Ἄπα Μ̣ιχα̣ή̣λ': '106847', 'τῆ[ς Ἀνταίου]': '115743'}",Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],Ro,nan,nan,nan,[]
TM 38431,nan,nan,List,nan,6th century AD: AD 500 - 599,1 χμγ 2 |̣ṣṭạụṛọṣ|̣  ἀ̣ρ̣ι̣θ̣μηθέντα  εἰς  τὸν  λόγον 3 Ἀμμωνιανὸς  Διονυσοδώρου  (ἀρτάβαι)  φ 4 Π̣ά̣ιος  Θέωνος  (ἀρτάβαι)  τ 5 [.]  ἀδελφὸς  (ἀρτάβαι)  ριθ 6 [.]ς̣  ἀπὸ  πρ[α]ιποσίτων  (ἀρτάβαι)  σν 7 [---][....]  (ἀρτάβαι)  κε 8 [---]α̣χω  εἰς  Κυνῶν  (ἀρτάβαι)  υν 9 [..]  Ἱέραξ  προδίκτορ*  (ἀρτάβαι)  ρ 10 [---][.]ζ(…)  ν<ο>ταρίου  (ἀρτάβαι)  σ 11 [Ἀχιλ]λέως  δι(ὰ)  Θε̣οδ̣ώρ(ου)  (καὶ)  Πέ̣τ̣ρ(ου)  (ἀρτάβαι)  φ,Greek,nan,nan,"[' 3Ἀμμωνιανὸς', 'Διονυσοδώρου', ' 4Πάιος', 'Θέωνος', ' 9Ἱέραξ', ' 11Θεοδώρου', 'Ἀχιλλέως', 'Πέτρου', 'Subscribe to export the table']",{'εἰς Κυνῶν': '96734'},Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found]Aphrodito (Kom Ishgau)? - Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [written],Ro,nan,nan,nan,['νταρίου: read ν<ο>ταρίου']
TM 38430,nan,nan,List,nan,6th century AD: AD 500 - 599,1 †  γνῶσ(ις)  ὀνομ(άτων) 2 οὕ(τως)  · 3 μ̣εμερίκ̣(αμεν) 4 ἀπὸ  Κερκὴ 5 τὸν  υἱὸν  Πουῶνς 6 ἀπὸ  Κώμα* 7 Φιλό̣ξ̣(ενον) .,Greek,nan,nan,"[' 5Πουῶνς', ' 7Φιλόξενον', 'Subscribe to export the table']","{'ἀπὸ Κερκη': '96732', 'ἀπὸ Κωμα': '96733'}",Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found & written],"Ro, back: blank",nan,nan,nan,['Κώμα: read Κόμα']
TM 38429,nan,nan,Account,nan,6th century AD: AD 500 - 599,1 [†]  [παρ]έ̣χει  Ἰωά̣[ν]ν̣ης  Παπο̣[.]ς̣ 2 [---][.]ου  ιγ̣  ἰ[νδ]ικ(τίονος)  σίτου̣ 3 μέτρ̣ῳ  παραλημπτικ(ῷ) 4 (ἀρτάβας)  οζ  ϛ´  χο(ίνικας)  β  αἳ  καγκ(έλλῳ)  ϙγ  δ´  χο(ίνικες)  ε 5 κ̣[αὶ]  [(ὑπὲρ)]  διαπίσμ(ατος)*  (ἀρτάβας)  δ  ?  χο(ίνικα) 6 [καὶ]  [λό]γ̣(ῳ)  σιτομετρικ(οῦ)  (ἀρτάβην)  α 7 [(γίνονται)]  (ἀρτάβαι)  ϙθ 8 παρέσχεν  σίτου  καγκ(έλλῳ)  (ἀρτάβας)  ϙβ 9 λοιπ(αὶ)  (ἀρτάβαι)  οϛ 10 καὶ  ὑπ(ὲρ)  λοιπάδ(ος)  ἀργυρικ(ῶν)  ιβ  καὶ 11 λό̣γ̣(ῳ)  τέως  ιγ  [ἰ]νδ̣ικ(τίονος)  νο(μίσματα)  ιε  π(αρὰ)  κερ(άτια)  [---] 12 ἀκολούθ(ως)  ἐνταγίου*  ἐμοῦ . 13 ἀναλ(ώματα)  σίτου  οὕτως  · 14 τῷ  [δια]φέροντι  τῷ  χωματεπίκτῃ*  εἰς 15 δι[ά]πρασιν  ὑπ(ὲρ)  νο(μίσματος)  α  σίτ(ου)  (ἀρτάβαι)  θ  χο(ίνικες)  δ 16 τῷ  τῆς  λιβικ(ῆς)  πεδι̣[ά]δος  εἰς  διάπρασιν 17 ὑπ(ὲρ)  νο(μίσματος)  α  σίτ(ου)  (ἀρτάβαι)  θ  χο(ίνικες)  δ 18 [.]λ(…)  ὑπ(ὲρ)  νο(μίσματος)  α  σίτ(ου)  (ἀρτάβαι)  θ  χο(ίνικες)  δ 19 Πρῆτʼ  εἰς  τὴν  προσφορὰν  (ἀρτάβαι)  ε  χο(ίνικες)  η 20 τῷ  αὐτῷ  Πρῆτʼ  ὑπ(ὲρ)  νο(μισμάτων)  β  (ἀρτάβαι)  ⟦ι⟧  ⟦?⟧  ιζ 21 Ἱέρακι  ἐν  χρήσ̣[ει]  (ἀρτάβη)  α 22 Ἁρεώτῃ  πρεσβυ̣τ̣έρ(ῳ)  ὑπ(ὲρ)  νο(μίσματος)  α  (ἀρτάβαι)  θ 23 τῷ  σιτομέτρῳ  [.]π̣ο(…)  γ´  μησ̣ὶ  (ἀρτάβη)  α,Greek,nan,nan,"[' 1Ἰωάννης', 'Παπο...', ' 19Πρῆτ', ' 20Πρῆτ', ' 21Ἱέρακι', ' 22Ἁρεώτῃ', 'Subscribe to export the table']",{},Aphrodito (Kom Ishgau)- Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [found]Aphrodito (Kom Ishgau)? - Egypt (10th Upper Egyptian nomeThe Egyptian nome ca. 3rd cent. BC-AegyptusThe Roman provincia ca. 2nd cent. AD) [written],Ro,nan,nan,nan,"['ἐνταγίου: read ἐνταγίῳ', 'χωματεπίκτῃ: read χωματεπείκτῃ', 'διαπίσματος: read διαπείσματος']"
